Wind ID,Date/Time,Latitude,Longitude,Nearest town,State,Max Gust speed,Comments,,,
7053,5/12/2013 7:03,-33.8317,148.6512,COWRA AIRPORT,NSW,48,NULL NULL,,,
7055,9/01/2014 5:01,-29.4152,142.0346,TIBOOBURRA,NSW,52,NULL NULL,,,
7056,9/01/2014 5:33,-30.8485,143.0846,WHITE CLIFFS,NSW,50,NULL NULL,,,
7057,17/01/2014 13:00,-35.5318,144.9347,DENILIQUIN,NSW,53,NULL NULL,,,
7073,15/03/2014 4:22,-30.8485,143.0846,WHITE CLIFFS,NSW,56,NULL 56 knot gust at White Cliffs,,,
7074,15/03/2014 6:37,-33.8484,151.2179,FORT DENISON,NSW,49,LGA: Sydney NULL,,,
7075,16/03/2014 1:33,-33.6817,151.2262,TERREY HILLS,NSW,48,LGA: Sydney NULL,,,
7076,16/03/2014 2:43,-31.8151,150.7345,MURRURUNDI,NSW,56,NULL NULL,,,
7079,16/03/2014 4:00,-29.7317,151.7511,GLEN INNES,NSW,50,NULL NULL,,,
7080,16/03/2014 4:07,-32.8067,151.8678,WILLIAMTOWN,NSW,51,LGA: Greater Newcastle NULL,,,
7081,16/03/2014 4:48,-30.9651,150.1511,GUNNEDAH,NSW,51,NULL NULL,,,
7082,16/03/2014 3:00,-31.0317,151.2178,DANGLEMAH,NSW,56,"Large branches down, trees snapped/uprooted.  NULL",,,
7083,16/03/2014 6:32,-28.8817,153.0511,CASINO AIRPORT,NSW,58,NULL NULL,,,
7084,22/03/2014 6:45,-34.0151,151.0012,LUCAS HEIGHTS,NSW,48,LGA: Sydney NULL,,,
7091,16/03/2014 3:15,-31.9484,152.4178,TINONEE,NSW,0,"Report of many large trees were blown over. Several uprooted and others snapped the trunk just above ground level. Spotter estimated wind gust of at least 100 miles per hour (87 knots, but this seems over-exagerrated). NULL",,,
7092,13/10/2013 13:00,-32.9651,151.6845,CHARLESTOWN,NSW,53,"Storm spotter Kyle Valentine reported tree branches snapped, shade cloth torn, colorbond fence warped in wind. Thunder and lightning observed also.%D NULL",,,
7093,29/10/2013 4:30,-31.0817,152.8345,KEMPSEY,NSW,48,"Storm spotter Paul Buckman reported tree branches snapped, roofing tiles lifted, and structural damage to BP Clybucca Service Station, estimating max wind gusts of 90km/h. Also reported about 30mm in about 15 mins (rainfall rate just below 1 in 10 year event based on Kempsey IFD), with gutters and creeks overflowing and a total whiteout at BP Clybucca service station. NULL",,,
7094,16/03/2014 2:49,-32.0317,150.8845,SCONE,NSW,49,YSCO AWS NULL,,,
7095,16/03/2014 3:03,-31.8151,150.7345,MURRURUNDI,NSW,59,MUI AWS NULL,,,
7096,16/03/2014 6:32,-29.1151,153.4345,EVANS HEAD,NSW,62,EVHD AWS NULL,,,
7097,3/04/2014 8:32,-34.2984,150.5846,BARGO,NSW,0,LGA: Wollondilly/Wingecarribee. Bargo Hotel had roof blown off. Possible low-end tornado. NULL,,,
7098,27/05/2014 7:23,-35.1318,147.4179,WAGGA WAGGA AERODROME,NSW,49,YSWG AWS NULL,,,
7185,4/10/2014 5:22,-29.4817,149.8345,MOREE AIRPORT,NSW,48,NULL 48 knot gust with thunderstorm at Moree.,,,
7186,13/10/2014 6:00,-33.7734,150.6346,LAPSTONE,NSW,0,"Spotter reports that wind blew down some small and large tree branches. %D LGA: Blue Mountains City Council Line of thunderstorms produced a 49 knot wind gust at Nobbys Head, and reports of wind damage at Lapston (just W of Metro).",,,
7187,13/10/2014 8:31,-32.9234,151.8011,NOBBYS HEAD,NSW,49,"LGA: Newcastle Line of thunderstorms produced a 49 knot wind gust at Nobbys Head, and reports of wind damage at Lapston (just W of Metro).",,,
7188,14/10/2014 9:52,-34.0151,151.2012,KURNELL,NSW,62,"LGA: Sutherland Shire An East Coast Low produced thunderstorms over the Sydney Metropolitan area that caused heavy rainfall, flash flooding as well as damaging/destructive wind gusts.",,,
7189,14/10/2014 10:00,-34.7234,150.6429,WATTAMOLLA,NSW,87,"LGA: Shoalhaven City Council An East Coast Low produced thunderstorms over the Sydney Metropolitan area that caused heavy rainfall, flash flooding as well as damaging/destructive wind gusts.",,,
7190,14/10/2014 11:30,-33.7817,151.2846,FRESHWATER BEACH,NSW,48,"Spotter estimate of wind gust strength. Spotter also reports damage with tree branches snapped, shade cloth torn and power lines down. %D LGA: Warringah Council An East Coast Low produced thunderstorms over the Sydney Metropolitan area that caused heavy rainfall, flash flooding as well as damaging/destructive wind gusts.",,,
7191,31/10/2014 7:43,-30.9651,148.3679,COONAMBLE AIRPORT,NSW,48,NULL Thunderstorm cell produced a 48 knot gust at Coonamble.,,,
7192,31/10/2014 10:28,-31.7651,150.8345,MURRURUNDI,NSW,64,NULL A thunderstorm cell produced a 64 knot gust at Murrurundi and a 50 knot gust at Merriwa.,,,
7193,31/10/2014 10:24,-32.122,150.3303,MERRIWA,NSW,50,NULL A thunderstorm cell produced a 64 knot gust at Murrurundi and a 50 knot gust at Merriwa.,,,
7194,1/11/2014 3:26,-33.9817,150.9846,HOLSWORTHY,NSW,49,SES reports wind jobs through Sutherland as well (most likely associated with this cell). %D LGA: Campbelltown City / Liverpool City A high-based thunderstorm cell produced a 49 knot gust at Holsworthy.,,,
7195,1/11/2014 4:32,-33.7484,150.7512,PENRITH,NSW,50,"Extensive wind damage across Penrith (and western Sydney) reported by the media with this cell. Including: trees blown over, parts of roofs blown off. Kingswood Medical Centre had roof blown off. %D LGA: Penrith City Council A high-based thunderstorm cell in the Metropolitan produced a 50 knot gust at Penrith and a 57 knot gust at Sydney Harbour.",,,
7196,1/11/2014 5:09,-33.8484,151.2512,SYDNEY HARBOUR,NSW,57,"Wind damage reported by the media about the Harbour, including boats blown over on the water. %D LGA: Council of the City of Sydney A high-based thunderstorm cell in the Metropolitan produced a 50 knot gust at Penrith and a 57 knot gust at Sydney Harbour.",,,
7197,1/11/2014 5:43,-32.7984,151.8428,WILLIAMTOWN AERODROME,NSW,50,LGA: Port Stephens Council A high-based thunderstorm cell produced a 50 knot wind gust at Williamtown. Lightning from this cell also struck and killed a 15 year old boy surfing at One Mile Beach.,,,
7198,1/11/2014 4:56,-31.7651,150.8345,MURRURUNDI,NSW,51,NULL A high-based thunderstorm cell produced a 52 knot wind gust at Murrurundi.,,,
